number,liczby_nut,liczby_parti,dlugosci_utworow,metrum,liczby_uzytych_metrum,liczby_uzytych_tonacji,najwyzsze_dzwieki,najnizsze_dzwieki,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
0,587,5,360.0,4/2,1,1,79,48,0.8763229716536952,19,74
1,627,5,376.0,4/2,1,1,79,48,0.8447359886339451,19,87
2,513,5,288.0,4/2,1,1,79,48,0.8658418020983609,19,51
3,1065,8,400.0,4/2,1,1,79,46,0.9046599467791747,20,183
4,373,4,256.0,4/2,1,1,79,48,0.9287049226540067,19,34
5,742,8,336.0,4/2,1,1,79,48,0.8530384105802566,19,199
6,600,5,352.0,4/2,1,1,74,45,0.9184358957790987,18,71
7,545,5,352.0,4/2,1,1,74,43,0.9202086755622657,19,65
8,525,5,320.0,4/2,1,1,79,48,0.8790520987857926,19,64
9,464,4,352.0,4/2,1,1,69,48,0.9411587490105512,13,48
10,709,6,352.0,4/2,1,1,76,43,0.8915728834425327,20,108
11,579,5,336.0,4/2,1,1,74,41,0.8966284654644898,20,64
12,503,5,312.0,4/2,1,1,74,41,0.877411876268498,20,59
13,642,5,384.0,4/2,1,1,72,45,0.913941853927228,17,81
14,504,5,288.0,4/2,1,1,72,41,0.9099722789003872,19,63
15,616,5,344.0,4/2,1,1,74,41,0.9248376043060468,20,73
16,583,5,336.0,4/2,1,1,77,46,0.8802747519641164,19,65
17,573,5,320.0,4/2,1,1,79,48,0.8738698520032869,19,74
18,533,5,296.0,4/2,1,1,77,46,0.9138734492507069,19,58
19,628,5,368.0,4/2,1,1,79,47,0.9199590970694673,20,70
20,925,6,480.0,4/2,1,1,79,48,0.8556388929640547,19,145
21,379,5,272.0,4/2,1,1,74,43,0.8382083857477767,19,38
22,278,4,180.0,2/2,1,1,76,50,0.920126109760195,16,28
23,328,4,224.0,4/2,1,1,76,47,0.9080894909614411,18,27
24,523,5,312.0,4/2,1,1,77,48,0.9085360171145968,18,71
25,586,5,344.0,4/2,1,1,74,45,0.8833476671943167,18,76
26,741,6,344.0,4/2,1,1,79,46,0.930397951922833,20,105
27,364,5,216.0,4/2,1,1,79,48,0.907793448415422,19,44
28,219,5,102.0,3/2,1,1,77,48,0.9387131398095157,18,27
29,890,6,464.0,4/2,1,1,79,50,0.9206622951351909,18,103
30,811,6,392.0,4/2,1,1,79,48,0.8688164951467335,19,114
31,595,5,344.0,4/2,1,1,79,48,0.9098553809338633,19,81
32,981,8,392.0,4/2,1,1,79,45,0.9034002692619749,21,155
33,480,5,304.0,4/2,1,1,79,48,0.9382617064162388,19,54
34,668,6,344.0,4/2,1,1,79,48,0.8894637463410542,19,74
35,556,6,228.0,3/2,1,1,74,43,0.902565450215159,19,150
36,206,6,96.0,4/2,1,1,74,43,0.843098634664287,19,7
37,752,5,456.0,4/2,1,1,77,46,0.9044153371252811,19,91
38,896,8,288.0,3/2,1,1,79,46,0.8601188213666434,20,326
39,90,8,48.0,4/2,1,1,79,46,0.8543069694332188,20,3
40,585,5,368.0,4/2,1,1,77,45,0.9104134340535427,20,64
41,674,6,368.0,4/2,1,1,79,45,0.9087951021953454,21,68
42,663,5,384.0,4/2,1,1,74,45,0.8774920974833414,18,60
43,695,5,376.0,4/2,1,1,77,46,0.9575114898765978,19,84
44,425,5,240.0,4/2,1,1,79,48,0.9090627257685591,19,49
45,246,5,132.0,3/2,1,1,79,48,0.8867958731466165,19,26
46,730,6,360.0,4/2,1,1,79,48,0.8825852842353012,19,129
47,790,6,344.0,4/2,1,1,79,46,0.9060343998898455,20,91
