number,liczby_nut,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
0,192,0.8523088449754727,15,0
1,115,0.8069142515450737,18,2
2,136,0.7231913801887271,15,0
3,122,0.855020412085309,10,0
4,131,0.8188908802501859,14,0
5,123,0.8467562443551281,13,0
6,118,0.9246422204500642,10,0
7,128,0.8752029623065138,12,0
8,126,0.8140273523969592,14,0
9,113,0.910791023890552,12,0
10,129,0.9084227819955581,13,0
11,129,0.7233152801367869,13,0
12,108,0.8524950149715487,11,0
13,114,0.8029314364470013,9,8
14,60,0.8408411092966156,12,2
15,110,0.6950621580348553,9,0
16,105,0.9155291808268607,8,0
17,124,0.9465818988624245,15,0
18,139,0.9076604513010698,15,0
19,126,0.9197341285266223,13,0
20,119,0.9656204015394061,13,0
21,130,0.9108939788744538,16,0
22,61,0.9495478159613122,11,0
23,119,0.9214860019328073,13,5
24,118,0.8633485194166309,11,0
25,123,0.8781403864333096,14,0
26,117,0.9208609247049462,16,0
27,106,0.9033198434560172,15,1
28,141,0.7715629234014894,15,1
29,61,0.8395860774393051,9,0
30,134,0.9604074074355983,12,0
31,107,0.9365008007523873,14,0
32,137,0.9575913404373824,13,0
33,116,0.9592162250685463,13,2
34,118,0.9838151851732512,11,0
35,83,0.89263259528483,12,0
36,118,0.8765362924945451,12,0
37,113,0.8694357355011529,15,0
38,115,0.9562720268515521,13,0
39,83,0.89263259528483,12,0
40,58,0.6808588741666853,11,4
41,119,0.7777966939799241,13,0
42,90,0.9597839937056505,9,0
43,115,0.8889994438232384,12,6
44,108,0.8217363049360508,10,0
45,74,0.6838541778755471,11,0
46,121,0.9111073081123041,15,0
47,112,0.9278006060879764,13,0
48,142,0.9343388955386752,8,0
49,119,0.838036526578822,12,0
50,124,0.9081692587231293,13,0
51,112,0.9165926319879317,11,8
52,139,0.769585848456773,13,1
53,103,0.8609333920772081,13,2
54,117,0.9013112160588163,13,2
55,86,0.8403873922784791,11,2
56,147,0.9049994520214534,23,2
57,130,0.9184258000194137,12,0
58,114,0.8901825704752561,13,0
59,132,0.9495636236642099,12,1
60,119,0.9783483184017666,13,0
61,108,0.8835210885103494,13,0
62,121,0.9055870945835061,16,1
63,117,0.902460755412099,13,1
64,123,0.8824626029550982,14,0
65,118,0.8825488214056095,11,0
66,122,0.8735346146363852,14,0
67,130,0.946180312100854,13,0
68,133,0.8445192658424777,15,0
69,124,0.8295842374880634,10,1
70,94,0.9050773625110544,12,0
71,95,0.7517189573588403,11,0
72,77,0.9774977198496647,12,0
73,94,0.573732424440758,17,7
74,111,0.927800683517223,12,13
75,121,0.939199132369449,13,0
76,128,0.8069966537750487,13,0
77,53,0.8105161638821606,11,4
78,116,0.7765185736283547,10,0
79,121,0.9066878598356279,10,0
80,120,0.903377210970749,11,0
81,122,0.9186771575158548,12,0
82,95,0.7494909238445084,12,0
83,126,0.8409052020201766,8,0
84,74,0.7490550764537434,17,2
85,103,0.789774304194137,14,0
86,123,0.912520516083704,16,0
87,128,0.8939211183026733,17,0
88,130,0.9365109810162888,12,0
89,125,0.8911946070872244,13,0
90,145,0.8679814771123938,10,0
91,100,0.7855340899832117,12,8
92,117,0.9062564608721569,11,0
93,110,0.7337411208689644,14,3
94,117,0.9190348302185151,12,0
95,121,0.9385614995401461,12,0
96,126,0.9190739599057002,16,0
97,129,0.9249760078233126,9,0
98,131,0.8406919176250365,16,0
99,126,0.9249830150329573,13,0
100,126,0.8886387665595656,13,0
101,95,0.7690412483908493,11,2
102,121,0.7961970152200142,13,0
103,88,0.7637958656066101,17,2
104,119,0.9024830162642644,12,0
105,90,0.7515165055896402,8,0
106,120,0.8972252889764661,12,0
107,115,0.9607198314747721,13,2
108,126,0.8699818674828309,13,0
109,167,0.7709194824501429,15,0
110,99,0.7410318968829612,12,0
111,117,0.8522661921446615,13,1
112,117,0.7912095167691378,12,0
113,123,0.7758400084085056,11,1
114,120,0.9331428060572057,14,0
115,87,0.9129763811354457,13,0
